"departure_station","total_trips","num_departure_delays","num_arrival_delays","avg_num_departure_delays","avg_num_arrival_delays","total_depart_delay","total_arrival_delay","avg_depart_delay","avg_arrival_delay","num_trains_cancelled","percent_cancelled","delay_external","delay_infrastructure","delay_traffic","delay_stock","delay_station","delay_travelers"
"MADRID",309,90,55,8.18181818181818,5,578.7805291004,56.82074453329,52.6164117364,5.16552223029909,58,5.32758620689655,0.117460317460286,0.222448979591857,0.296825396825429,0.331519274376286,0,0.031746031746
"MARNE LA VALLEE",7419,4073,1351,185.136363636364,61.4090909090909,796.7242318916,264.22884144335,36.2147378132545,12.0104018837886,606,12.2425742574257,0.243660179758273,0.194484188555773,0.209179766240441,0.2346404929655,0.0730061015902364,0.0450292708896
"MARSEILLE ST CHARLES",58516,7946,9968,45.6666666666667,58.2923976608187,6511.6226470804,2929.91395263325,38.0796646028094,16.8385859346739,1799,32.5269594219011,0.28179524165664,0.225916922491794,0.217233637101446,0.159399076242033,0.0716207722960439,0.0440343502119494
"METZ",13552,2614,2440,55.6170212765957,51.9148936170213,894.5692493456,663.30772323849,19.0333882839489,14.11293028167,238,56.9411764705882,0.167536297222115,0.202833747721785,0.35705030282596,0.170878153743609,0.0601899880082638,0.0415115104782553
"MONTPELLIER",31033,5848,5646,62.2127659574468,60.063829787234,3519.8681835457,1998.58852115697,37.445406207933,21.2615800123082,1271,24.4162077104642,0.320647752164602,0.289276719098829,0.186017109363649,0.126985818058957,0.0416779338305543,0.0353946674832936
"MULHOUSE VILLE",14318,2248,1219,47.8297872340426,25.936170212766,1403.1334358037,664.63865310329,29.8539028894404,14.1412479383679,339,42.23598820059,0.249439801828119,0.201977581748145,0.32011388898666,0.11792517952333,0.0614578839466574,0.0490856639668362
"NANCY",13344,1142,940,24.2978723404255,20,1361.3316506696,726.18011989769,28.9645032057362,15.450640848887,302,44.1854304635762,0.323981613206562,0.251966689894043,0.141857283235755,0.164882415062594,0.0756962629129191,0.0416157356881404
"NANTES",27881,3678,3486,35.0285714285714,33.2,4072.24192279,1609.46144722526,38.7832564075238,15.3282042592882,750,37.1746666666667,0.292745711643131,0.328137463223299,0.158386196140072,0.145807722335152,0.0457635804263329,0.0291593262319346
"NICE VILLE",9825,1508,1739,32.0851063829787,37,2088.0624421428,679.1727771326,44.4268604711234,14.4504846198426,358,27.4441340782123,0.363211967098213,0.225323925197289,0.174491781775917,0.15123403824377,0.0480658210575596,0.0376724666271596
"NIMES",16287,4707,3060,100.148936170213,65.1063829787234,1807.9195978203,935.37345166994,38.4663744217085,19.9015628014881,576,28.2760416666667,0.34649511988434,0.291368325119,0.162214668301687,0.138502185642011,0.0258044077997,0.0356152932531213
"PARIS EST",71529,5625,6009,19.9468085106383,21.3085106382979,8011.30061429768,5376.72579756463,28.4088674265875,19.0664035374632,1402,51.0192582025678,0.278119900912277,0.20503829551364,0.128253879375914,0.246391718865085,0.112715563730212,0.0294806416027784
"PARIS LYON",298528,24970,35701,21.9227392449517,31.4546255506608,38580.732035183,21353.1399671956,33.9918343922317,18.7472695058785,7733,38.6044226044226,0.283943776226202,0.206392349165099,0.160761159015524,0.246956266956101,0.0718294734635966,0.0292936046236962
"PARIS MONTPARNASSE",249759,19374,29102,25.7632978723404,38.6994680851064,24248.3605595818,13412.1673664874,32.2451603185928,17.835328944797,7141,34.9753535919339,0.274637054826256,0.304004026265782,0.12630360381536,0.180028664797758,0.0811180044382987,0.0339086458564524
"PARIS NORD",61825,5267,6958,28.0159574468085,37.0106382978723,4521.5063411144,3730.64700814261,24.0505656442255,19.8438670645884,2009,30.7740169238427,0.297909276050052,0.201674554395504,0.145544796181244,0.186656994405911,0.125897365819545,0.0423170131476387
"PARIS VAUGIRARD",1492,227,179,6.87878787878788,5.42424242424242,1102.888356551,465.4309120618,33.4208592894242,14.1039670321758,20,74.6,0.217336367336303,0.24403004402997,0.214855514855424,0.278206978206918,0.0349650349650303,0.0106060606060606
"PERPIGNAN",7777,1599,1450,34.0212765957447,30.8510638297872,2155.6986367115,705.19245675152,45.8659284406702,15.0040948245004,254,30.6181102362205,0.39130287007934,0.267684171471994,0.145325288770768,0.146323879460717,0.0203730633976298,0.028990726819534
"POITIERS",21874,5619,3214,119.553191489362,68.3829787234042,1327.0250642712,676.77549722457,28.2345758355574,14.3994786643526,693,31.5642135642136,0.247271770920943,0.354866357006468,0.169429135004236,0.124350332800504,0.0601078464189128,0.0439745578488128
"QUIMPER",10350,249,915,5.29787234042553,19.468085106383,2031.5178941865,963.08379123304,43.2237849826915,20.49114449432,301,34.3853820598007,0.395839203285489,0.326253123492047,0.0843544951411596,0.135158118341236,0.0367852739673723,0.0216097857726468
"REIMS",9578,882,997,18.7659574468085,21.2127659574468,840.91695473771,767.32136003399,17.8918501008023,16.3259863837019,153,62.6013071895425,0.249127959321789,0.300765463687623,0.1680297649429,0.165906714048906,0.0672247785717787,0.0489453194267787
"RENNES",31884,5041,4774,48.0095238095238,45.9038461538462,3755.7985687991,1457.6937339591,36.1134477769144,13.8827974662771,1061,30.0508953817154,0.295014617280091,0.279520127764684,0.161867627011058,0.17902163384985,0.0474874486908184,0.0370885454033913
"SAINT ETIENNE CHATEAUCREUX",4956,194,607,4.12765957446809,12.9148936170213,1194.1249615578,399.93845082787,25.4069140756979,8.50932874101851,63,78.6666666666667,0.268864025899334,0.233656184639428,0.201430522359668,0.125406881167443,0.135375176198704,0.0352672097351255
"ST MALO",4581,326,444,6.93617021276596,9.4468085106383,1902.3897732414,704.42877274847,40.4763781540723,14.9878462286909,97,47.2268041237113,0.302456179615038,0.346057914064745,0.105668913897947,0.152783687248657,0.0741804086610085,0.0188528965124702
