"airport","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"10561",183,30,101.907103825137,492.464480874317,90121,-0.224043715846995,-0.147540983606557
"10577",62,10,90.3064516129032,378,23436,4.45161290322581,7.56451612903226
"10581",27,6,128.851851851852,695.444444444444,18777,20.1111111111111,17.0740740740741
"10599",1146,308,101.613696224759,509.43630017452,583814,6.8416447944007,1.52326602282704
"10620",264,28,90.0342205323194,501.143939393939,132302,-2.85931558935361,-7.3041825095057
"10627",339,66,98.4154302670623,513.938053097345,174225,1.27218934911243,-3.64094955489614
"10631",62,3,57.758064516129,199,12338,-0.290322580645161,-1.95161290322581
"10685",238,27,89.0506329113924,419.050420168067,99734,-1.41596638655462,-6.92405063291139
"10693",4477,1358,117.099775280899,668.277194549922,2991877,5.94099169845187,-1.1238202247191
"10713",1160,278,109.221453287197,631.724137931035,732800,6.19533275713051,2.30190311418685
"10721",10164,3298,168.531562778714,970.331267217631,9862447,5.13620638529208,-1.72658804875632
"10728",87,17,75.8823529411765,270,23490,1.08235294117647,-3.35294117647059
"10731",85,23,63.0352941176471,238,20230,8.85882352941177,0.764705882352941
"10732",96,39,195.010416666667,1353.1875,129906,11.7604166666667,6.80208333333333
"10739",53,6,50.377358490566,114,6042,4.88679245283019,5.62264150943396
"10747",204,26,85.5204081632653,386.470588235294,78840,2.4234693877551,-6.33673469387755
"10754",81,23,85.1125,517.827160493827,41944,0.2625,-0.2375
"10779",62,6,78.016393442623,358,22196,-5.63934426229508,-9.62295081967213
"10781",659,188,83.6774691358025,360.314112291351,237447,7.89969135802469,5.90740740740741
"10785",348,84,99.9101449275362,430.954022988506,149972,5.82947976878613,3.61159420289855
"10792",1593,336,108.170977917981,570.579409918393,908933,4.01134930643127,-1.30725552050473
"10800",1768,415,87.9035938391329,459.579185520362,812536,2.58860398860399,0.982316029663434
"10821",8022,3460,130.359904893005,753.136624283221,6041662,8.16754122938531,1.70166437241897
"10849",335,44,104.111111111111,586.211940298507,196381,-2.82934131736527,-7.12012012012012
"10868",434,110,102.35593220339,482.539170506912,209422,8.41204819277108,5.63922518159806
"10874",491,99,101.940695296524,535.026476578411,262698,3.24539877300613,-1.48057259713701
"10918",53,6,59.4339622641509,221,11713,-4.88679245283019,-5.45283018867925
"10926",62,13,47.3870967741936,186.5,11563,-5.48387096774194,-2.09677419354839
"10980",417,91,73.5975903614458,267.043165467626,111357,4.70120481927711,3.70602409638554
"10990",237,55,98.6271186440678,463.856540084388,109934,5.16525423728814,1.0635593220339
